Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3",CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder,2,1uf,
"C4, C5, C6",CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder,3,100nF,
C7,1210,1,22uF,
D1,D_SOD-123F,1,D,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
Q1,SOT-23_Handsoldering,1,NTR4101PT1G ,
"Q2, Q3",SOT-23_Handsoldering,2,PMV16XNR ,
"R1, R5",0805,2,100K,
"R2, R4, R6, R9",0805,4,10K,
R3,0805,1,3K3,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0-10K ?,
TP4056,TP4056-18650,1,~,
U1,SOT-89-3,1,MCP1700T-3302E/MB ,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny84A-P,
U4,nRF24L01_Breakout,1,NRF24L01_Breakout,
